as_of_date,release_revision,revision_fingerprint,source_list,source_reported_registry_status,coverage_class,record_count
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-not-operate","Not Registered - Cease and Desist Order","keyed",4
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-not-operate","Not Registered - Cease and Desist Order","unkeyed",827
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-not-operate","Revoked","keyed",32570
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-not-operate","Revoked","unkeyed",12
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-not-operate","Subject to Cease and Desist Order","keyed",29
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-not-operate","Subject to Cease and Desist Order","unkeyed",3
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-not-operate","Suspended","keyed",3497
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Current","keyed",62187
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Current","unkeyed",2
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Current - Awaiting Reporting","keyed",1474
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Current - In Process","keyed",23340
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Current - Probationary Registration","keyed",1190
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Current - Reporting Incomplete","keyed",7155
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Exempt","keyed",3231
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Exempt","unkeyed",1187
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Exempt - Facility Financing","keyed",4
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Exempt - Facility Financing","unkeyed",216
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Exempt - Form 990-PF Required","keyed",184
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Exempt - Form 990-PF Required","unkeyed",12
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Exempt - Religious","keyed",3908
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Exempt - Religious","unkeyed",56334
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-operate","Registered - Corporate Trustee","keyed",1010
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Closed - Registration Not Required","keyed",38
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Closed - Registration Not Required","unkeyed",247
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Dissolution Pending","keyed",838
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Dissolution Pending","unkeyed",80
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Dissolution Waiver Issued","keyed",4747
